id,title,description,link,image_link,price,availability
PIN-101,Malcolm X Special Edition Unisex Hoodie,"One of the most influential black revolutionaries ever to grace earth, Malcolm X is featured on this special edition hoodie reminding us of his greatness, vision, and effortless cool.

Soft, smooth, and stylish. Inspired by photo from unknown source. Reimagined and drawn by E. Wabusima.

***We want you to look good in our hoodie, and make it one of your go-to’s for as long as possible. For maintain optimal quality, we suggest that you:

WASH INSIDE OUT
HANG TO DRY (OPTIONAL)
• 50% pre-shrunk cotton, 50% polyester
• Fabric weight: 8.0 oz/yd² (271.25 g/m²)
• Air-jet spun yarn with a soft feel and reduced pilling
• Double-lined hood with matching drawcord
• Quarter-turned body to avoid crease down the middle
• 1 × 1 athletic rib-knit cuffs and waistband with spandex
• Front pouch pocket
• Double-needle stitched collar, shoulders, armholes, cuffs, and hem
• Blank product sourced from Honduras, Mexico, or Nicaragua",https://www.peepthevisuals.com/shop/foxy-short-sleeve-unisex-t-shirt,https://i.postimg.cc/pLVd0TsN/DSC-0574.jpg,$45.00,in stock
PIN-201,Foxy Unisex Hoodie,"Everyone needs a cozy go-to hoodie to curl up in, so go for one that's soft, smooth, and stylish. It's the perfect choice for cooler evenings!

***We want you to look good in our hoodie, and make it one of your go-to’s for as long as possible. For maintain optimal quality, we suggest that you:

WASH INSIDE OUT
HANG TO DRY (OPTIONAL)
• 50% pre-shrunk cotton, 50% polyester
• Fabric weight: 8.0 oz/yd² (271.25 g/m²)
• Air-jet spun yarn with a soft feel and reduced pilling
• Double-lined hood with matching drawcord
• Quarter-turned body to avoid crease down the middle
• 1 × 1 athletic rib-knit cuffs and waistband with spandex
• Front pouch pocket
• Double-needle stitched collar, shoulders, armholes, cuffs, and hem
• Blank product sourced from Honduras, Mexico, or Nicaragua",https://www.peepthevisuals.com/shop/foxy-unisex-hoodie,https://i.postimg.cc/DZt4VHxx/unisex-heavy-blend-hoodie-red-front-61b89ff14d8d7.jpg,$45.00,in stock
PIN-301,Foxy Short-Sleeve T-Shirt,"This t-shirt is everything you've dreamed of and more. It feels soft and lightweight, with the right amount of stretch. It's comfortable and flattering for all.

INSPIRED BY THE 1972 PHOTOGRAPH CAPTURED OF PAM GRIER BY MICHAEL OCHS. REIMAGINED AND DRAWN BY E. WABUSIMA.
• 100% combed and ring-spun cotton (Heather colors contain polyester)
• Ash color is 99% combed and ring-spun cotton, 1% polyester
• Heather colors are 52% combed and ring-spun cotton, 48% polyester
• Athletic and Black Heather are 90% combed and ring-spun cotton, 10% polyester
• Heather Prism colors are 99% combed and ring-spun cotton, 1% polyester
• Fabric weight: 4.2 oz (142 g/m2)
• Pre-shrunk fabric
• Side-seamed construction
• Shoulder-to-shoulder taping",https://www.peepthevisuals.com/shop/foxy-short-sleeve-unisex-t-shirt,https://i.postimg.cc/RhLtX57N/unisex-staple-t-shirt-olive-front-61b89b3a2147f.jpg,$25.00,in stock
,,,  ,,,