id,item_group_id,title,description,link,image_link,price,availability,condition,google_product_category,product_type,additional_image_link,sale_price,brand,gender,age_group,size,size_type,shipping,custom_label_0,adwords_redirect
PIN-101,PIN-1,Malcolm X Unisex Hoodie,"Soft, smooth, and stylish. Inspired by photo from unknown source. Reimagined and drawn by E. Wabusima.

One of the most influential black revolutionaries ever to grace earth, Malcolm X is featured on this special edition hoodie reminding us of his greatness, vision, and effortless cool. ***We want you to look good in our hoodie, and make it one of your go-toÕs for as long as possible. To maintain optimal quality, we suggest that you:

WASH INSIDE OUTHANG TO DRY (optional)

¥ 50% pre-shrunk cotton, 50% polyester¥ Fabric weight: 8.0 oz/yd_ (271.25 g/m_)¥ Air-jet spun yarn with a soft feel and reduced pilling¥ Double-lined hood with matching drawcord¥ Quarter-turned body to avoid crease down the middle¥ 1 _ 1 athletic rib-knit cuffs and waistband with spandex¥ Front pouch pocket¥ Double-needle stitched collar, shoulders, armholes, cuffs, and hem¥ Blank product sourced from Honduras, Mexico, or Nicaragua",https://www.peepthevisuals.com/shop/malcolm-x-unisex-hoodie,https://i.postimg.cc/7PsZdpWD/unisex-heavy-blend-hoodie-white-front-6178a32acb7c1.png,45,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops,Hoodies, , ,Peep The Visuals,unisex,adult,"S, M, L, XL, XXL",regular,,,
PIN-201,PIN-2,Foxy Unisex Hoodie,"INSPIRED BY THE 1972 PHOTOGRAPH CAPTURED OF PAM GRIER BY MICHAEL OCHS. REIMAGINED AND DRAWN BY E. WABUSIMA.

***We want you to look good in our hoodie, and make it one of your go-toÕs for as long as possible. To maintain optimal quality, we suggest that you:

WASH INSIDE OUT
HANG TO DRY (OPTIONAL)
¥ 50% pre-shrunk cotton, 50% polyester
¥ Fabric weight: 8.0 oz/yd_ (271.25 g/m_)
¥ Air-jet spun yarn with a soft feel and reduced pilling
¥ Double-lined hood with matching drawcord
¥ Quarter-turned body to avoid crease down the middle
¥ 1 _ 1 athletic rib-knit cuffs and waistband with spandex
¥ Front pouch pocket
¥ Double-needle stitched collar, shoulders, armholes, cuffs, and hem
¥ Blank product sourced from Honduras, Mexico, or Nicaragua
",https://www.peepthevisuals.com/shop/foxy-unisex-hoodie,https://i.postimg.cc/DZt4VHxx/unisex-heavy-blend-hoodie-red-front-61b89ff14d8d7.jpg,45,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops,Hoodies,,,Peep The Visuals,unisex,adult,"S, M, L, XL, XXL",regular,,,
PIN-301,PIN-3,Foxy Unisex Short Sleeve T-Shirt,"This t-shirt is everything you've dreamed of and more. It feels soft and lightweight, with the right amount of stretch. It's comfortable and flattering for all.

INSPIRED BY THE 1972 PHOTOGRAPH CAPTURED OF PAM GRIER BY MICHAEL OCHS. REIMAGINED AND DRAWN BY E. WABUSIMA.
¥ 100% combed and ring-spun cotton (Heather colors contain polyester)
¥ Ash color is 99% combed and ring-spun cotton, 1% polyester
¥ Heather colors are 52% combed and ring-spun cotton, 48% polyester
¥ Athletic and Black Heather are 90% combed and ring-spun cotton, 10% polyester
¥ Heather Prism colors are 99% combed and ring-spun cotton, 1% polyester
¥ Fabric weight: 4.2 oz (142 g/m2)
¥ Pre-shrunk fabric
¥ Side-seamed construction
¥ Shoulder-to-shoulder taping",https://www.peepthevisuals.com/shop/foxy-short-sleeve-unisex-t-shirt,https://i.postimg.cc/RhLtX57N/unisex-staple-t-shirt-olive-front-61b89b3a2147f.jpg,25,in stock,new,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,,,Peep The Visuals,unisex,adult,"S, M, L, XL, XXL",regular,,,